query_id,estimated_realized_mse,geometry_realized_mse,estimated_residual_cosine,geometry_residual_cosine,reliability_weight
100::PTPN9+UBASH3B,0.0389653251987987,0.0563895566508709,0.8107830348885638,0.7819285220602659,0.0
100::ELMSAN1+MAP2K3,0.052736048407881,0.0369042792489795,0.6646193764832783,0.6700812366228276,0.3379999995231628
100::CEBPE+ZC3HAV1,0.1282880494357088,0.1384204999837114,0.9686584330185548,0.97227160464834,0.5799999833106995
100::CDKN1A+CDKN1C,0.1031791031445312,0.1315378261483677,0.7079663359553914,0.7081383089241357,0.1140000000596046
100::BAK1+KLF1,0.053024589097882,0.0623063909700466,0.3692570471190611,0.1580736055855354,0.3089999854564667
100::SNAI1+UBASH3B,0.0427271613908265,0.1050284029073702,0.577593658085554,-0.0555067893356494,0.2759999930858612
100::CNN1+UBASH3B,0.0748047712266568,0.1633016528420277,0.889543637712147,0.7146832478742606,0.6230000257492065
101::ETS2+PRTG,0.0276542230368199,0.0795426513603091,0.9241900037366696,0.828034555641213,0.356000006198883
101::DUSP9+ETS2,0.0644950516206969,0.1355901733847951,0.8805586484836779,0.535135894753898,0.7250000238418579
101::CEBPB+CEBPE,0.2795980959467538,0.1157987892373501,0.7747055201777132,0.9219756368379568,0.2179999947547912
101::CEBPE+ZC3HAV1,0.1950422069080418,0.2045948699895937,0.9450720743099894,0.9625543072970122,0.5799999833106995
101::TBX2+TBX3,0.0482858012123103,0.0399242995561755,0.54126949810941,0.6563242616965578,0.3740000128746032
101::FOXA1+FOXA3,0.0739063733687196,0.0550577713191884,0.531987240164055,0.5586021482061444,0.1689999997615814
101::FOXA1+HOXB9,0.0856707281527773,0.0747457539639318,0.594057216124781,0.7043433480672303,0.1099999994039535
101::DLX2+ZBTB10,0.1813209016779313,0.178669560266588,0.5241253705719755,0.5283189728853456,0.3899999856948852
101::FOXF1+HOXB9,0.075295196447106,0.0599019018136429,0.5473004453336873,0.5699590192583341,0.0340000018477439
102::CEBPB+CEBPE,0.2800541202928588,0.1088895703287152,0.7865591991608716,0.91543117212853,0.2179999947547912
102::PTPN9+UBASH3B,0.0415530164181647,0.0552486168430764,0.7956084753171748,0.7712531938054495,0.0
102::CDKN1A+CDKN1B,0.1046495708935468,0.1052992452510087,0.624668826462174,0.6505382406063595,0.0
102::ETS2+IGDCC3,0.039146933070819,0.0758325958446079,0.9188240624412156,0.86505751071905,0.3529999852180481
102::FOXA3+HOXB9,0.0502321426930906,0.049399706737843,0.7063329784778636,0.7069091196665129,0.090999998152256
102::CEBPE+ZC3HAV1,0.1908254167813664,0.2265120304985326,0.9484759995471976,0.9564529069639154,0.5799999833106995
102::TBX2+TBX3,0.0528809186295174,0.0399242995561755,0.4825910172103098,0.6563242616965578,0.3740000128746032
