seed,pair,estimated_witness_risk,geometry_risk,estimated_realized_mse,geometry_realized_mse,estimated_residual_cosine,geometry_residual_cosine,selected_rho,selected_length_factor,selected_noise_ratio
0,IGDCC3+TGFBR2,0.0550259468364783,0.1361562967287302,0.0414072227838801,0.0458377996181623,0.5898422631357352,0.4819651458657084,0.9,4.0,0.03
0,KLF1+SET,0.4550349483585846,0.1343117489112548,0.1559146040536494,0.0696392534392452,0.0542130272074849,0.6366444549265641,0.9,4.0,0.03
0,SGK1+TBX2,0.1124123980836793,0.1648775260540889,0.0531336640614578,0.0526081727305683,0.696735415492991,0.7631133213836462,0.9,4.0,0.03
0,CDKN1B+CDKN1C,0.0989118416894905,0.1731214023567933,0.1022435048296544,0.1214782856609255,0.686981869537109,0.6903434560816448,0.9,4.0,0.03
0,CBL+PTPN12,0.0603533008157104,0.1377806289354645,0.082742138060276,0.0652541049715677,0.6812108902361702,0.5128619538640004,0.9,4.0,0.03
0,ELMSAN1+ZBTB10,0.332968963214315,0.1533269459177811,0.1296920652859665,0.1040919198060356,0.3238115830915823,0.4562768586230213,0.9,4.0,0.03
0,CBL+TGFBR2,0.0492532239435684,0.1356094043789973,0.0620890040462293,0.0600300275116553,0.7084197565440803,0.6961780888715157,0.9,4.0,0.03
0,CEBPE+FOSB,0.0631952392070034,0.1220364266495762,0.4002686363357056,0.4605847723107606,0.1283464825134315,0.0066689795383575,0.9,4.0,0.03
0,IGDCC3+PRTG,0.2517708344536977,0.1411240100375198,0.5410775500459433,0.2352064898487472,-0.2625249678545265,0.7029881804891078,0.9,4.0,0.03
0,PTPN12+ZBTB25,0.0499865455427229,0.1347862363550044,0.0450631894617423,0.0833069048366277,0.8140790803520103,0.4192770835054022,0.9,4.0,0.03
0,PTPN12+UBASH3B,0.0425464814156277,0.1218571722939093,0.040168995943302,0.096567014461304,0.7397200975226236,0.2542308913525488,0.9,4.0,0.03
0,IGDCC3+ZBTB25,0.0755972938907167,0.1490966471632178,0.0743259738746795,0.0779949925518554,0.4189222420313157,0.301906465297961,0.9,4.0,0.03
0,ETS2+MAPK1,0.5424234575975172,0.1250605997492787,0.1636444898417035,0.4187033391073244,-0.1167013374897101,-0.080222680077289,0.9,4.0,0.03
0,CEBPE+ETS2,0.1135437850836753,0.1194091191519825,0.0915602052093938,0.0828076364229037,0.9403989282046902,0.9336989153753028,0.9,4.0,0.03
0,CBL+UBASH3B,0.0435746739011073,0.1366582210952376,0.1885270660599211,0.3045295962332056,0.70323614839541,0.2985369945529464,0.9,4.0,0.03
0,BAK1+BCL2L11,0.0556845758583101,0.1563907733695746,0.0555898930285784,0.0508632192796629,0.4268582118027119,0.4114660192777806,0.9,4.0,0.03
0,PTPN12+SNAI1,0.0711211875070874,0.1294018990779226,0.1615963187827835,0.1446921658723858,0.0891763377303762,0.0851107387488437,0.9,4.0,0.03
0,FOXA1+KLF1,0.1309835365583053,0.1239953105881583,0.088376641771719,0.0579065199308298,0.2212370452420146,0.402127265733128,0.9,4.0,0.03
0,CEBPB+JUN,0.2206789451430795,0.1431445846163064,0.3310218295143777,0.2234285978916087,0.2738574918647455,0.3876181031155138,0.9,4.0,0.03
0,CNN1+MAPK1,0.0717267353775467,0.1268286063443664,0.0477472422635797,0.0446217755844648,0.7497576530654624,0.6917855838467434,0.9,4.0,0.03
0,CBL+CNN1,0.0555552574814592,0.1417501462647669,0.0500797311847593,0.1614654378507666,0.9339458441804144,0.9004883420110585,0.9,4.0,0.03
0,BPGM+ZBTB1,0.0914204399800877,0.1674821470954867,0.1491873431520027,0.0776566995429981,0.1305554649168785,0.6635610100551069,0.9,4.0,0.03
0,PTPN12+ZBTB10,0.2821748343448982,0.1434185205696837,0.1293222684820421,0.1049105658858582,0.409038692373135,0.5320077551098962,0.9,4.0,0.03
0,SNAI1+ZBTB10,0.3677180059872634,0.1568256568081258,0.3556805065830618,0.1848876008695028,0.2344794654702914,0.3117714367883632,0.9,4.0,0.03
0,RHOXF2+SET,0.7411381387917785,0.1582408213251323,0.088499790038455,0.0725482212910894,0.5780382163606935,0.6716856998968691,0.9,4.0,0.03
0,DUSP9+IGDCC3,0.0752971106428631,0.1392319814122659,0.0873111851310597,0.0777438299258953,0.6190886052080263,0.6527235639922117,0.9,4.0,0.03
