seed,pair,reliability_weight,estimated_witness_risk,geometry_risk,oracle_risk,estimated_realized_mse,geometry_realized_mse,oracle_realized_mse,estimated_residual_cosine,geometry_residual_cosine,selected_rho,selected_length_factor,selected_noise_ratio
100,SGK1+TBX2,0.29899999499320984,0.12551216898610143,0.17570047746867407,0.034179663024853396,0.04427860209414925,0.052608172730568344,0.03417966299471219,0.7574724731516903,0.7631133213836462,0.75,4.0,0.1
100,ELMSAN1+ZBTB10,0.36000001430511475,0.204694500577764,0.16904984981247975,0.06606457173946771,0.09020941708320201,0.09282776963945505,0.06606457170352982,0.5695303012727756,0.543434166089078,0.75,4.0,0.1
100,PRTG+TGFBR2,0.16500000655651093,0.0719779944395623,0.13528281602966868,0.030392118562450648,0.08914743301861305,0.05239451423618019,0.030392118534102303,0.24824612612893424,0.38208739973183037,0.75,4.0,0.1
100,PTPN9+UBASH3B,0.0,0.0796042417092471,0.15408079807709565,0.02732773282369065,0.03896532519879877,0.05638955665087092,0.027327732792004334,0.8107830348885638,0.7819285220602659,0.75,4.0,0.1
100,ELMSAN1+MAP2K3,0.33799999952316284,0.1105462470293369,0.16430508337653635,0.02780548033443144,0.052736048407881,0.03690427924897953,0.027805480307185538,0.6646193764832783,0.6700812366228276,0.75,4.0,0.1
100,UBASH3A+UBASH3B,0.39500001072883606,0.06721393119540198,0.14609408333068266,0.01915559986547864,0.16653285674001259,0.11323143411825054,0.01915559983807435,0.08296684812342955,0.056314987679527695,0.75,4.0,0.1
100,FOXL2+POU3F2,0.09700000286102295,0.08934419439219628,0.15491740650673044,0.046979848210082595,0.07499082102197036,0.08676075557359819,0.04697984817983715,0.6039446987815122,0.5110516265723454,0.75,4.0,0.1
100,IGDCC3+ZBTB25,0.2549999952316284,0.08649798744629311,0.14896393098863012,0.0540707197366605,0.07592775266654801,0.08123457836085321,0.0540707197036188,0.42019054244889004,0.33495905054940717,0.75,4.0,0.1
100,FOXF1+FOXL2,0.34700000286102295,0.06602110388780276,0.14262609375962337,0.04634410841253503,0.1133038411228823,0.10825176552658472,0.04634410838291064,0.5128049718460189,0.5531562433925439,0.75,4.0,0.1
100,CEBPB+OSR2,0.1809999942779541,0.0962188925850384,0.13967941031779338,0.04943078986063726,0.1002168184807439,0.11903257272209722,0.04943078982855328,0.5869839735056834,0.6086728047101313,0.75,4.0,0.1
