seed,spearman_estimated_risk_vs_oracle_risk,spearman_estimated_risk_vs_realized_mse,spearman_geometry_risk_vs_realized_mse,oracle_formula_relative_error,oracle_efficiency_estimated,oracle_efficiency_geometry
100,0.4905982905982905,0.3558974358974359,0.08512820512820513,1.4306151138022272e-09,0.45298797097169974,0.4652673029646816
101,0.5172649572649572,0.507008547008547,-0.10837606837606836,1.3725633674553765e-09,0.4355790124162596,0.3554735636517995
102,0.5097435897435897,0.5391452991452992,-0.048888888888888885,1.3377142808433644e-09,0.45247978894272867,0.4552462821477008
103,0.7155555555555554,0.4823931623931623,0.07727816833751085,1.392481763517841e-09,0.40920712665660003,0.40864969733418016
104,0.5186324786324785,0.4352136752136752,-0.2300854700854701,1.4316244698829446e-09,0.38465634904653406,0.3483822602236456
105,0.5117948717948718,0.3682051282051282,-0.12076636422572762,1.3511139176662085e-09,0.34838240145126326,0.31520173645325444
106,0.5425641025641026,0.5917948717948718,0.23897435897435895,1.3384313194192195e-09,0.4578979360823523,0.39071177079567776
107,0.47008547008547,0.5432478632478631,0.015045307109957863,1.3752915695109113e-09,0.4014002637967738,0.3697329679413706
108,0.3846153846153845,0.44068376068376064,0.11452991452991453,2.021883697149051e-09,0.41727712205141965,0.43419380495548354
109,0.5104273504273503,0.4748717948717948,0.018803418803418803,1.3652382448851938e-09,0.3786961701224301,0.28202043673081
110,0.3647863247863247,0.2676923076923077,0.16928865559101552,1.192451394268688e-09,0.44539978623836946,0.41280107816349554
111,0.4543589743589744,0.5699145299145298,-0.14461538461538462,1.7040318321021654e-09,0.3938720753577742,0.3254325352240004
112,0.4441025641025641,0.44957264957264953,0.02974358974358974,1.3448768132946766e-09,0.35523686905348956,0.35710627122903155
113,0.3531623931623932,0.5097435897435897,-0.11798906298767747,1.712130570679081e-09,0.448027770346527,0.4519185309042861
114,0.13025641025641024,0.33196581196581193,0.04376816613805924,1.3806501146324011e-09,0.39645738538450115,0.31092527136768816
115,0.2841025641025641,0.23692307692307688,0.037264957264957266,1.2679825708433165e-09,0.4453752132162422,0.3789774002731182
116,0.6738461538461538,0.4625641025641026,0.14324786324786323,1.4691712004301374e-09,0.43436072594840175,0.4244865678251411
117,0.5323076923076923,0.38256410256410256,0.05641025641025641,1.3007723177742783e-09,0.42799061224058493,0.31624818314921455
118,0.4782905982905982,0.6601709401709401,-0.3887179487179487,2.0107031185481578e-09,0.3775052319771431,0.3322691300888221
119,0.4536752136752136,0.6923076923076923,-0.31965811965811963,1.7555459174523642e-09,0.440449876724113,0.3385058973870166
120,0.4099145299145299,0.6198290598290598,-0.014017094017094016,1.5807589011402196e-09,0.3597171623911739,0.3152331594986331
121,0.4769230769230769,0.2752136752136752,0.1794871794871795,1.6360387897116749e-09,0.41565967461811965,0.34966805517789806
122,0.18017094017094015,0.2553846153846154,0.04752136752136752,1.6282507741659084e-09,0.4707738626659194,0.3621837202506138
123,0.6088888888888888,0.6362393162393162,0.11794871794871793,1.4578050814063898e-09,0.4284332624932227,0.3708333219837181
124,0.28957264957264955,0.43863247863247856,-0.2300854700854701,1.5495732436237168e-09,0.39166581449730065,0.3888787891326041
125,0.5712820512820513,0.7299145299145299,0.41128205128205125,1.448637096986942e-09,0.4719016490442118,0.48417330102262135
126,0.44478632478632474,0.4133333333333333,-0.18085470085470085,1.710611927592111e-09,0.39966208787397806,0.34222122401661487
127,0.06461538461538462,0.5056410256410256,-0.03521367521367521,1.4326548161575334e-09,0.46369807497567367,0.4598857720286668
128,0.3818803418803418,0.4536752136752136,0.21025641025641023,1.7367704369112827e-09,0.40149281176381196,0.33755387687904514
129,0.38324786324786325,0.39965811965811965,0.1576068376068376,1.3851515809233864e-09,0.38753743211307806,0.3630407246809692
