seed,pair,reliability_weight,estimated_witness_risk,geometry_risk,oracle_risk,estimated_realized_mse,geometry_realized_mse,oracle_realized_mse,estimated_residual_cosine,geometry_residual_cosine,selected_rho,selected_length_factor,selected_noise_ratio
0,IGDCC3+TGFBR2,0.06499999761581421,0.05502594683647837,0.13615629672873025,0.029142511183330243,0.04140722278388019,0.045837799618162325,0.02914251115291796,0.5898422631357352,0.48196514586570843,0.9,4.0,0.03
0,KLF1+SET,0.871999979019165,0.4550349483585846,0.1343117489112548,0.04130800749897634,0.15591460405364946,0.06963925343924528,0.041308007460432054,0.0542130272074849,0.6366444549265641,0.9,4.0,0.03
0,SGK1+TBX2,0.29899999499320984,0.11241239808367935,0.16487752605408892,0.033946344601578526,0.053133664061457864,0.052608172730568344,0.03394634457140754,0.696735415492991,0.7631133213836462,0.9,4.0,0.03
0,CDKN1B+CDKN1C,0.0,0.0989118416894905,0.17312140235679338,0.07760002872837748,0.10224350482965446,0.1214782856609255,0.07760002869647095,0.686981869537109,0.6903434560816448,0.9,4.0,0.03
0,CBL+PTPN12,0.0010000000474974513,0.06035330081571045,0.1377806289354645,0.031159958936343074,0.08274213806027604,0.0652541049715677,0.031159958905509797,0.6812108902361702,0.5128619538640004,0.9,4.0,0.03
0,ELMSAN1+ZBTB10,0.36000001430511475,0.332968963214315,0.1533269459177811,0.07834881965695754,0.12969206528596655,0.1040919198060356,0.07834881962374095,0.3238115830915823,0.45627685862302136,0.9,4.0,0.03
0,CBL+TGFBR2,0.05900000035762787,0.049253223943568424,0.13560940437899735,0.040166389570077385,0.06208900404622934,0.060030027511655336,0.040166389540344606,0.7084197565440803,0.6961780888715157,0.9,4.0,0.03
0,CEBPE+FOSB,0.7870000004768372,0.06319523920700341,0.1220364266495762,0.06192207354114014,0.40026863633570564,0.46058477231076067,0.06192207350874233,0.1283464825134315,0.006668979538357552,0.9,4.0,0.03
0,IGDCC3+PRTG,0.45399999618530273,0.2517708344536977,0.14112401003751987,0.07550314177331025,0.5410775500459433,0.23520648984874729,0.07550314173006555,-0.2625249678545265,0.7029881804891078,0.9,4.0,0.03
0,PTPN12+ZBTB25,0.0,0.04998654554272299,0.13478623635500447,0.02746356154609872,0.04506318946174239,0.08330690483662773,0.02746356151651835,0.8140790803520103,0.4192770835054022,0.9,4.0,0.03
0,PTPN12+UBASH3B,0.03099999949336052,0.042546481415627745,0.12185717229390938,0.02882793283564035,0.04016899594330209,0.096567014461304,0.028827932805626795,0.7397200975226236,0.25423089135254884,0.9,4.0,0.03
0,IGDCC3+ZBTB25,0.2549999952316284,0.0755972938907167,0.14909664716321783,0.05708513327402576,0.07432597387467951,0.07799499255185541,0.0570851332408198,0.4189222420313157,0.30190646529796106,0.9,4.0,0.03
0,ETS2+MAPK1,0.7639999985694885,0.5424234575975172,0.12506059974927874,0.034977803995384554,0.16364448984170354,0.41870333910732443,0.03497780396475942,-0.11670133748971016,-0.08022268007728901,0.9,4.0,0.03
0,CEBPE+ETS2,0.46000000834465027,0.11354378508367532,0.11940911915198253,0.027429221039506735,0.09156020520939388,0.08280763642290374,0.02742922101069053,0.9403989282046902,0.9336989153753028,0.9,4.0,0.03
0,CBL+UBASH3B,0.6230000257492065,0.04357467390110732,0.1366582210952376,0.02628494025232886,0.18852706605992112,0.3045295962332056,0.02628494022245848,0.70323614839541,0.29853699455294647,0.9,4.0,0.03
0,BAK1+BCL2L11,0.33899998664855957,0.05568457585831012,0.1563907733695746,0.042850214610981055,0.05558989302857846,0.05086321927966296,0.0428502145795735,0.42685821180271194,0.4114660192777806,0.9,4.0,0.03
0,PTPN12+SNAI1,0.43799999356269836,0.0711211875070874,0.12940189907792266,0.034020818246367074,0.16159631878278352,0.14469216587238581,0.034020818213041724,0.08917633773037623,0.08511073874884371,0.9,4.0,0.03
0,FOXA1+KLF1,0.4480000138282776,0.13098353655830536,0.12399531058815834,0.031575711226832816,0.08837664177171901,0.05790651993082987,0.03157571119653721,0.22123704524201462,0.402127265733128,0.9,4.0,0.03
0,CEBPB+JUN,0.01899999938905239,0.22067894514307954,0.14314458461630644,0.16048635151342955,0.3310218295143777,0.22342859789160877,0.16048635148012463,0.2738574918647455,0.3876181031155138,0.9,4.0,0.03
0,CNN1+MAPK1,0.621999979019165,0.07172673537754672,0.12682860634436643,0.024915409971823337,0.047747242263579716,0.044621775584464875,0.02491540993647045,0.7497576530654624,0.6917855838467434,0.9,4.0,0.03
0,CBL+CNN1,0.3889999985694885,0.05555525748145929,0.1417501462647669,0.032745963922946264,0.05007973118475934,0.1614654378507666,0.032745963887207165,0.9339458441804145,0.9004883420110585,0.9,4.0,0.03
0,BPGM+ZBTB1,0.41600000858306885,0.09142043998008777,0.16748214709548676,0.04218234665759775,0.14918734315200274,0.07765669954299811,0.04218234662595919,0.13055546491687853,0.6635610100551069,0.9,4.0,0.03
0,PTPN12+ZBTB10,0.3779999911785126,0.28217483434489826,0.14341852056968377,0.07175794506148675,0.12932226848204215,0.10491056588585829,0.0717579450283037,0.40903869237313506,0.5320077551098962,0.9,4.0,0.03
0,SNAI1+ZBTB10,0.3889999985694885,0.3677180059872634,0.15682565680812585,0.11678407169029152,0.3556805065830618,0.1848876008695028,0.11678407165041793,0.23447946547029141,0.3117714367883632,0.9,4.0,0.03
0,RHOXF2+SET,1.0,0.7411381387917785,0.15824082132513234,0.05058016548719857,0.08849979003845503,0.07254822129108945,0.05058016545168799,0.5780382163606935,0.6716856998968691,0.9,4.0,0.03
0,DUSP9+IGDCC3,0.2370000034570694,0.07529711064286317,0.13923198141226592,0.03416314427783387,0.08731118513105977,0.07774382992589533,0.034163144241903566,0.6190886052080263,0.6527235639922117,0.9,4.0,0.03
1,CEBPA+CEBPE,0.5609999895095825,0.21337891660507088,0.1265215493910162,0.07145059847832846,0.454421292579817,0.4361661031742531,0.07145059844275034,0.931206659192823,0.9527803998483486,0.75,1.0,0.1
1,ETS2+IKZF3,0.4359999895095825,0.14012046610559745,0.12628556988115672,0.02377967949461285,0.03654300881289481,0.03816098079058644,0.023779679467138055,0.9055780568707081,0.9110602362061656,0.75,1.0,0.1
